Symbol,Company Name,Industry,Market Cap
MDVL,MedAvail Holdings Inc.,Pharmaceutical Retailers,22.42M
MDWD,MediWound Ltd.,Biotechnology,84.42M
MDWT,Midwest Holding Inc.,Insurance - Life,96.12M
MDXG,MiMedx Group Inc.,Biotechnology,668.17M
MDXH,MDxHealth SA,Diagnostics & Research,108.96M
ME,23andMe Holding Co.,Diagnostics & Research,945.57M
MEC,Mayville Engineering Company Inc.,Metal Fabrication,255.65M
MED,Medifast Inc.,Personal Services,906.52M
MEDP,Medpace Holdings Inc.,Diagnostics & Research,6.47B
MEDS,TRxADE HEALTH Inc.,Pharmaceutical Retailers,3.32M
MEG,Montrose Environmental Group Inc.,Waste Management,1.10B
MEGL,Magic Empire Global Limited,Capital Markets,41.93M
MEI,Methode Electronics Inc.,Electronic Components,1.60B
MEIP,MEI Pharma Inc.,Biotechnology,49.97M
MEKA,MELI Kaszek Pioneer Corp,Shell Companies,306.46M
MELI,MercadoLibre Inc.,Internet Retail,63.80B
MEOA,Minority Equality Opportunities Acquisition Inc.,Shell Companies,113.58M
MEOH,Methanex Corporation,Chemicals,3.00B
MERC,Mercer International Inc.,Paper & Paper Products,595.22M
MESA,Mesa Air Group Inc.,Airlines,70.88M
MESO,Mesoblast Limited,Biotechnology,590.72M
MET,MetLife Inc.,Insurance - Life,40.57B
META,Meta Platforms Inc.,Internet Content & Information,698.63B
METC,Ramaco Resources Inc.,Coking Coal,346.43M
METX,Meten Holding Group Ltd.,Education & Training Services,4.79M
MF,Missfresh Limited,Grocery Stores,4.17M
MFA,MFA Financial Inc.,REIT - Mortgage,1.14B
MFC,Manulife Financial Corporation,Insurance - Life,35.61B
MFG,Mizuho Financial Group Inc.,Banks - Regional,38.65B
MFIC,MidCap Financial Investment Corporation,Asset Management,788.69M
MFIN,Medallion Financial Corp.,Credit Services,163.48M
MG,Mistras Group Inc.,Security & Protection Services,208.78M
MGA,Magna International Inc.,Auto Parts,14.64B
MGAM,Mobile Global Esports Inc.,Electronic Gaming & Multimedia,10.98M
MGEE,MGE Energy Inc.,Utilities - Diversified,2.66B
MGI,MoneyGram International Inc.,Credit Services,1.07B
MGIC,Magic Software Enterprises Ltd.,Information Technology Services,558.68M
MGIH,Millennium Group International Holdings Limited,Packaging & Containers,19.01M
MGLD,The Marygold Companies Inc.,Asset Management,56.32M
MGM,MGM Resorts International,Resorts & Casinos,14.81B
MGNI,Magnite Inc.,Advertising Agencies,1.80B
MGNX,MacroGenics Inc.,Biotechnology,300.54M
MGOL,MGO Global Inc.,Advertising Agencies,16.24M
MGPI,MGP Ingredients Inc.,Beverages - Wineries & Distilleries,2.22B
MGRC,McGrath RentCorp,Rental & Leasing Services,2.27B
MGRM,Monogram Orthopaedics Inc.,Medical Devices,46.72M
MGRX,Mangoceuticals Inc.,Health Information Services,19.22M
MGTA,Magenta Therapeutics Inc.,Biotechnology,43.36M
MGTX,MeiraGTx Holdings plc,Biotechnology,448.04M
MGY,Magnolia Oil & Gas Corporation,Oil & Gas E&P,5.19B
MGYR,Magyar Bancorp Inc.,Banks - Regional,68.43M
MHH,Mastech Digital Inc.,Staffing & Employment Services,117.33M
MHK,Mohawk Industries Inc.,'''Furnishings, Fixtures & Appliances''',6.16B
MHLD,Maiden Holdings Ltd.,Insurance - Reinsurance,220.83M
MHO,M/I Homes Inc.,Residential Construction,2.03B
MHUA,Meihua International Medical Technologies Co. Ltd.,Medical Instruments & Supplies,71.58M
MICS,The Singing Machine Company Inc.,Consumer Electronics,4.34M
MIDD,The Middleby Corporation,Specialty Industrial Machinery,7.47B
MIGI,Mawson Infrastructure Group Inc.,Capital Markets,43.51M
MIMO,Airspan Networks Holdings Inc.,Telecom Services,12.55M
MIND,MIND Technology Inc.,Scientific & Technical Instruments,8.69M
MINM,Minim Inc.,Communication Equipment,8.37M
MIR,Mirion Technologies Inc.,Specialty Industrial Machinery,1.85B
MIRM,Mirum Pharmaceuticals Inc.,Biotechnology,1.00B
MIRO,Miromatrix Medical Inc.,Biotechnology,27.24M
MIST,Milestone Pharmaceuticals Inc.,Biotechnology,125.42M
MITA,Coliseum Acquisition Corp.,Shell Companies,193.50M
MITK,Mitek Systems Inc.,Software - Application,465.57M
MITQ,Moving iMage Technologies Inc.,Communication Equipment,12.36M
MITT,AG Mortgage Investment Trust Inc.,REIT - Mortgage,117.03M
MIXT,MiX Telematics Limited,Software - Application,160.83M
MKC,McCormick & Company Incorporated,Packaged Foods,23.72B
MKFG,Markforged Holding Corporation,Computer Hardware,195.55M
MKL,Markel Corporation,Insurance - Property & Casualty,18.18B
MKSI,MKS Instruments Inc.,Scientific & Technical Instruments,6.45B
MKTW,MarketWise Inc.,Software - Application,88.22M
MKTX,MarketAxess Holdings Inc.,Capital Markets,10.60B
MKUL,Molekule Group Inc.,Pollution & Treatment Controls,67.33M
ML,MoneyLion Inc.,Software - Application,377.77M
MLAB,Mesa Laboratories Inc.,Scientific & Technical Instruments,705.40M
MLAC,Malacca Straits Acquisition Company Limited,Shell Companies,43.54M
MLCO,Melco Resorts & Entertainment Limited,Resorts & Casinos,4.67B
MLEC,Moolec Science SA,Biotechnology,113.43M
MLGO,MicroAlgo Inc.,Software - Infrastructure,99.12M
MLI,Mueller Industries Inc.,Metal Fabrication,4.49B
MLKN,MillerKnoll Inc.,'''Furnishings, Fixtures & Appliances''',1.08B
MLM,Martin Marietta Materials Inc.,Building Materials,25.72B
MLNK,MeridianLink Inc.,Software - Application,1.65B
MLP,Maui Land & Pineapple Company Inc.,Real Estate Services,235.16M
MLR,Miller Industries Inc.,Auto Parts,390.37M
MLSS,Milestone Scientific Inc.,Medical Instruments & Supplies,72.80M
MLTX,MoonLake Immunotherapeutics,Biotechnology,1.22B
MLVF,Malvern Bancorp Inc.,Banks - Regional,118.95M
MLYS,Mineralys Therapeutics Inc.,Biotechnology,357.85M
MMAT,Meta Materials Inc.,Electronic Components,98.11M
MMC,Marsh & McLennan Companies Inc.,Insurance Brokers,87.27B
MMI,Marcus & Millichap Inc.,Real Estate Services,1.18B
MMLP,Martin Midstream Partners L.P.,Oil & Gas Midstream,87.17M
MMM,3M Company,Conglomerates,56.56B
MMMB,'MamaMancini''s Holdings Inc.',Packaged Foods,91.70M
MMP,Magellan Midstream Partners L.P.,Oil & Gas Midstream,12.42B
MMS,Maximus Inc.,Specialty Business Services,5.06B
MMSI,Merit Medical Systems Inc.,Medical Instruments & Supplies,4.85B
MMV,MultiMetaVerse Holdings Limited,Entertainment,67.42M
MMYT,MakeMyTrip Limited,Travel Services,2.94B
MNDO,MIND C.T.I. Ltd,Software - Application,39.31M
MNDY,monday.com Ltd.,Software - Application,8.35B
MNKD,MannKind Corporation,Biotechnology,1.18B
MNMD,Mind Medicine (MindMed) Inc.,Biotechnology,133.35M
MNOV,MediciNova Inc.,Biotechnology,107.42M
MNPR,Monopar Therapeutics Inc.,Biotechnology,13.09M
MNRO,Monro Inc.,Auto Parts,1.33B
MNSB,MainStreet Bancshares Inc.,Banks - Regional,171.21M
MNSO,MINISO Group Holding Limited,Specialty Retail,5.21B
MNST,Monster Beverage Corporation,Beverages - Non-Alcoholic,62.26B
MNTK,Montauk Renewables Inc.,Utilities - Diversified,1.04B
MNTN,Everest Consolidator Acquisition Corporation,Shell Companies,228.78M
MNTS,Momentus Inc.,Aerospace & Defense,30.54M
MNTX,Manitex International Inc.,Farm & Heavy Construction Machinery,97.34M
MO,Altria Group Inc.,Tobacco,80.92B
MOB,Mobilicom Ltd,Communication Equipment,7.36M
MOBQ,Mobiquity Technologies Inc.,Advertising Agencies,4.18M
MOBV,Mobiv Acquisition Corp,Shell Companies,138.20M
MOD,Modine Manufacturing Company,Auto Parts,1.58B
MODD,Modular Medical Inc.,Medical Devices,21.74M
MODG,Topgolf Callaway Brands Corp.,Leisure,3.41B
MODN,Model N Inc.,Software - Application,1.22B
MODV,ModivCare Inc.,Medical Care Facilities,694.16M
MOFG,MidWestOne Financial Group Inc.,Banks - Regional,315.86M
MOG.A,Moog Inc.,Aerospace & Defense,3.24B
MOG.B,Moog Inc.,Aerospace & Defense,3.07B
MOGO,Mogo Inc.,Software - Infrastructure,53.01M
MOGU,MOGU Inc.,Internet Retail,21.20M
MOH,Molina Healthcare Inc.,Healthcare Plans,16.74B
MOLN,Molecular Partners AG,Biotechnology,237.98M
MOMO,Hello Group Inc.,Internet Content & Information,1.68B
MOND,Mondee Holdings Inc.,Travel Services,1.02B
MOR,MorphoSys AG,Biotechnology,899.25M
MORF,Morphic Holding Inc.,Biotechnology,2.61B
MORN,Morningstar Inc.,Financial Data & Stock Exchanges,8.78B
MOS,The Mosaic Company,Agricultural Inputs,10.99B
MOTS,Motus GI Holdings Inc.,Medical Devices,3.69M
MOV,Movado Group Inc.,Luxury Goods,592.31M
MOVE,Movano Inc.,Medical Devices,43.10M
MOXC,Moxian (BVI) Inc,Advertising Agencies,34.84M
MP,MP Materials Corp.,Other Industrial Metals & Mining,3.92B
MPAA,Motorcar Parts of America Inc.,Auto Parts,109.35M
MPB,Mid Penn Bancorp Inc.,Banks - Regional,401.01M
MPC,Marathon Petroleum Corporation,Oil & Gas Refining & Marketing,46.83B
MPLN,MultiPlan Corporation,Health Information Services,1.08B
MPLX,MPLX LP,Oil & Gas Midstream,33.76B
MPRA,Mercato Partners Acquisition Corporation,Shell Companies,105.53M
MPTI,M-tron Industries Inc.,Electronic Components,34.19M
MPU,Mega Matrix Corp.,Rental & Leasing Services,44.29M
MPW,Medical Properties Trust Inc.,REIT - Healthcare Facilities,4.94B
MPWR,Monolithic Power Systems Inc.,Semiconductors,23.58B
MPX,Marine Products Corporation,Recreational Vehicles,539.64M
MQ,Marqeta Inc.,Software - Infrastructure,2.62B
MRAI,Marpai Inc.,Healthcare Plans,19.14M
MRAM,Everspin Technologies Inc.,Semiconductors,176.27M
MRBK,Meridian Corporation,Banks - Regional,111.11M
MRC,MRC Global Inc.,Oil & Gas Equipment & Services,792.44M
MRCC,Monroe Capital Corporation,Asset Management,163.36M
MRCY,Mercury Systems Inc.,Aerospace & Defense,2.39B
MRDB,MariaDB plc,Software - Infrastructure,63.57M
MREO,Mereo BioPharma Group plc,Biotechnology,132.49M
MRIN,Marin Software Incorporated,Software - Application,13.01M
MRK,Merck & Co. Inc.,Drug Manufacturers - General,285.51B
MRKR,Marker Therapeutics Inc.,Biotechnology,16.19M
MRM,MEDIROM Healthcare Technologies Inc.,Personal Services,29.30M
MRNA,Moderna Inc.,Biotechnology,49.75B
MRNS,Marinus Pharmaceuticals Inc.,Biotechnology,373.55M
MRO,Marathon Oil Corporation,Oil & Gas E&P,14.37B
MRSN,Mersana Therapeutics Inc.,Biotechnology,887.64M
MRTN,Marten Transport Ltd.,Trucking,1.79B
MRTX,Mirati Therapeutics Inc.,Biotechnology,2.23B
MRUS,Merus N.V.,Biotechnology,1.09B
MRVI,Maravai LifeSciences Holdings Inc.,Biotechnology,3.35B
MRVL,Marvell Technology Inc.,Semiconductors,51.75B
MS,Morgan Stanley,Capital Markets,140.87B
MSA,MSA Safety Incorporated,Security & Protection Services,5.61B
MSAC,Medicus Sciences Acquisition Corp.,Shell Companies,118.12M
MSB,Mesabi Trust,Steel,251.25M
MSBI,Midland States Bancorp Inc.,Banks - Regional,460.32M
MSC,Studio City International Holdings Limited,Resorts & Casinos,1.38B
MSCI,MSCI Inc.,Financial Data & Stock Exchanges,38.33B
MSEX,Middlesex Water Company,Utilities - Regulated Water,1.46B
MSFT,Microsoft Corporation,Software - Infrastructure,2.493.86B
MSGE,Madison Square Garden Entertainment Corp.,Entertainment,2.08B
MSGM,Motorsport Games Inc.,Electronic Gaming & Multimedia,11.77M
MSGS,Madison Square Garden Sports Corp.,Entertainment,4.26B
MSI,Motorola Solutions Inc.,Communication Equipment,47.42B
MSM,MSC Industrial Direct Co. Inc.,Industrial Distribution,5.23B
MSN,Emerson Radio Corp.,Consumer Electronics,11.95M
MSSA,Metal Sky Star Acquisition Corporation,Shell Companies,92.96M
MSTR,MicroStrategy Incorporated,Software - Application,3.92B
MSVB,Mid-Southern Bancorp Inc.,Banks - Regional,29.02M
MT,ArcelorMittal S.A.,Steel,22.56B
MTA,Metalla Royalty & Streaming Ltd.,Other Precious Metals & Mining,220.43M
MTAC,MedTech Acquisition Corporation,Shell Companies,85.73M
MTAL,Metals Acquisition Corp,Shell Companies,377.50M
MTB,M&T Bank Corporation,Banks - Regional,20.83B
MTC,MMTec Inc.,Software - Application,68.97M
MTCH,Match Group Inc.,Internet Content & Information,10.85B
MTCR,Metacrine Inc.,Biotechnology,23.89M
MTD,Mettler-Toledo International Inc.,Diagnostics & Research,29.35B
MTDR,Matador Resources Company,Oil & Gas E&P,5.64B
MTEK,Maris-Tech Ltd.,Electronic Components,6.89M
MTEM,Molecular Templates Inc.,Biotechnology,26.63M
MTEX,Mannatech Incorporated,Household & Personal Products,23.77M
MTG,MGIC Investment Corporation,Insurance - Specialty,4.46B
MTH,Meritage Homes Corporation,Residential Construction,4.53B
MTLS,Materialise NV,Software - Application,597.76M
MTN,Vail Resorts Inc.,Resorts & Casinos,10.17B
MTNB,Matinas BioPharma Holdings Inc.,Biotechnology,86.58M
MTR,Mesa Royalty Trust,Oil & Gas E&P,44.65M
MTRN,Materion Corporation,Other Industrial Metals & Mining,2.25B
MTRX,Matrix Service Company,Engineering & Construction,152.55M
MTRY,Monterey Bio Acquisition Corporation,Shell Companies,52.22M
MTSI,MACOM Technology Solutions Holdings Inc.,Semiconductors,4.34B
MTTR,Matterport Inc.,Software - Application,772.22M
MTVC,Motive Capital Corp II,Shell Companies,448.48M
MTW,The Manitowoc Company Inc.,Farm & Heavy Construction Machinery,568.61M
MTX,Minerals Technologies Inc.,Specialty Chemicals,1.90B
MTZ,MasTec Inc.,Engineering & Construction,8.33B
MU,Micron Technology Inc.,Semiconductors,75.70B
MUFG,Mitsubishi UFJ Financial Group Inc.,Banks - Diversified,84.65B
MULN,Mullen Automotive Inc.,Auto Manufacturers,128.85M
MUR,Murphy Oil Corporation,Oil & Gas E&P,5.91B
MURF,Murphy Canyon Acquisition Corp.,Shell Companies,66.63M
MUSA,Murphy USA Inc.,Specialty Retail,6.30B
MUX,McEwen Mining Inc.,Other Precious Metals & Mining,383.22M
MVBF,MVB Financial Corp.,Banks - Regional,245.21M
MVIS,MicroVision Inc.,Scientific & Technical Instruments,866.72M
MVLA,Movella Holdings Inc.,Software - Application,131.34M
MVST,Microvast Holdings Inc.,Electrical Equipment & Parts,433.20M
MWA,Mueller Water Products Inc.,Specialty Industrial Machinery,2.29B
MWG,Multi Ways Holdings Limited,Rental & Leasing Services,21.75M
MX,Magnachip Semiconductor Corporation,Semiconductors,448.00M
MXC,Mexco Energy Corporation,Oil & Gas E&P,24.20M
MXCT,MaxCyte Inc.,Medical Devices,450.33M
MXL,MaxLinear Inc.,Semiconductors,2.31B
MYE,Myers Industries Inc.,Packaging & Containers,730.79M
MYFW,First Western Financial Inc.,Banks - Regional,165.29M
MYGN,Myriad Genetics Inc.,Diagnostics & Research,1.91B
MYMD,MyMD Pharmaceuticals Inc.,Biotechnology,71.69M
MYNA,Mynaric AG,Communication Equipment,147.38M
MYNZ,Mainz Biomed B.V.,Diagnostics & Research,85.10M
MYO,Myomo Inc.,Medical Devices,11.31M
MYPS,PLAYSTUDIOS Inc.,Electronic Gaming & Multimedia,590.39M
MYRG,MYR Group Inc.,Engineering & Construction,2.24B
MYSZ,My Size Inc.,Software - Application,2.76M
MYTE,MYT Netherlands Parent B.V.,Luxury Goods,336.98M
NA,Nano Labs Ltd,Semiconductors,119.86M
NAAS,NaaS Technology Inc.,Specialty Retail,1.48B
NABL,N-able Inc.,Information Technology Services,2.65B
NAII,Natural Alternatives International Inc.,Packaged Foods,45.64M
NAK,Northern Dynasty Minerals Ltd.,Other Industrial Metals & Mining,117.08M
NAMS,NewAmsterdam Pharma Company N.V.,Biotechnology,1.13B
NAOV,NanoVibronix Inc.,Medical Devices,6.21M
NAPA,The Duckhorn Portfolio Inc.,Beverages - Wineries & Distilleries,1.61B
NARI,Inari Medical Inc.,Medical Devices,3.56B
NAT,Nordic American Tankers Limited,Marine Shipping,770.46M
NATH,'Nathan''s Famous Inc.',Restaurants,313.28M
NATI,National Instruments Corporation,Software - Application,7.67B
NATR,'Nature''s Sunshine Products Inc.',Packaged Foods,228.35M
NAUT,Nautilus Biotechnology Inc.,Biotechnology,347.13M
NAVB,Navidea Biopharmaceuticals Inc.,Biotechnology,3.66M
NAVI,Navient Corporation,Credit Services,2.05B
NB,NioCorp Developments Ltd.,Other Industrial Metals & Mining,150.30M
NBHC,National Bank Holdings Corporation,Banks - Regional,1.25B
NBIX,Neurocrine Biosciences Inc.,Drug Manufacturers - Specialty & Generic,9.01B
NBN,Northeast Bank,Banks - Regional,282.21M
NBR,Nabors Industries Ltd.,Oil & Gas Drilling,919.51M
NBRV,Nabriva Therapeutics plc,Biotechnology,4.67M
NBSE,NeuBase Therapeutics Inc.,Biotechnology,6.08M
NBST,Newbury Street Acquisition Corporation,Shell Companies,92.74M
NBTB,NBT Bancorp Inc.,Banks - Regional,1.58B
NBTX,Nanobiotix S.A.,Biotechnology,179.68M
NBY,NovaBay Pharmaceuticals Inc.,Biotechnology,1.64M
NC,NACCO Industries Inc.,Thermal Coal,232.22M
NCAC,Newcourt Acquisition Corp,Shell Companies,101.23M
NCLH,Norwegian Cruise Line Holdings Ltd.,Travel Services,6.69B
NCMI,National CineMedia Inc.,Advertising Agencies,52.22M
NCNA,NuCana plc,Biotechnology,44.01M
NCNO,nCino Inc.,Software - Application,2.81B
NCPL,Netcapital Inc.,Capital Markets,11.08M
NCR,NCR Corporation,Information Technology Services,3.48B
NCRA,Nocera Inc.,Packaged Foods,15.99M
NCSM,NCS Multistage Holdings Inc.,Oil & Gas Equipment & Services,42.61M
NCTY,The9 Limited,Electronic Gaming & Multimedia,21.35M
NDAQ,Nasdaq Inc.,Financial Data & Stock Exchanges,27.64B
NDLS,Noodles & Company,Restaurants,160.40M
NDRA,ENDRA Life Sciences Inc.,Diagnostics & Research,11.07M
NDSN,Nordson Corporation,Specialty Industrial Machinery,12.95B
NE,Noble Corporation,Oil & Gas Drilling,5.66B
NECB,Northeast Community Bancorp Inc.,Banks - Regional,207.22M
NEE,NextEra Energy Inc.,Utilities - Regulated Electric,149.43B
NEGG,Newegg Commerce Inc.,Internet Retail,415.53M
NEM,Newmont Corporation,Gold,33.45B
NEN,New England Realty AssociatesLP,Real Estate Services,245.71M
NEO,NeoGenomics Inc.,Diagnostics & Research,2.29B
NEOG,Neogen Corporation,Diagnostics & Research,4.00B
NEON,Neonode Inc.,Electronic Components,128.87M
NEOV,NeoVolta Inc.,Electrical Equipment & Parts,93.50M
NEP,NextEra Energy Partners LP,Utilities - Renewable,5.55B
NEPH,Nephros Inc.,Medical Instruments & Supplies,18.77M
NEPT,Neptune Wellness Solutions Inc.,Drug Manufacturers - Specialty & Generic,3.08M
NERV,Minerva Neurosciences Inc.,Biotechnology,36.92M
NET,Cloudflare Inc.,Software - Infrastructure,23.45B
NETC,Nabors Energy Transition Corp.,Shell Companies,365.70M
NETI,Eneti Inc.,Marine Shipping,385.31M
NEU,NewMarket Corporation,Specialty Chemicals,3.94B
NEWP,New Pacific Metals Corp.,Other Precious Metals & Mining,379.10M
NEWR,New Relic Inc.,Software - Infrastructure,4.92B
NEWT,Newtek Business Services Corp.,Asset Management,326.80M
NEX,NexTier Oilfield Solutions Inc.,Oil & Gas Equipment & Services,1.94B
NEXA,Nexa Resources S.A.,Other Industrial Metals & Mining,693.98M
NEXI,NexImmune Inc.,Biotechnology,9.13M
NEXT,NextDecade Corporation,Oil & Gas E&P,865.76M
NFBK,Northfield Bancorp Inc. (Staten Island NY),Banks - Regional,507.64M
NFE,New Fortress Energy Inc.,Utilities - Regulated Gas,5.98B
NFG,National Fuel Gas Company,Oil & Gas Integrated,4.81B
NFGC,New Found Gold Corp.,Gold,778.21M
NFLX,Netflix Inc.,Entertainment,178.03B
NFNT,Infinite Acquisition Corp.,Shell Companies,363.29M
NFTG,The NFT Gaming Company Inc.,Electronic Gaming & Multimedia,7.99M
NFYS,Enphys Acquisition Corp.,Shell Companies,445.05M
NG,NovaGold Resources Inc.,Gold,1.74B
NGD,New Gold Inc.,Gold,840.21M
NGG,National Grid plc,Utilities - Regulated Electric,49.05B
NGL,NGL Energy Partners LP,Oil & Gas Midstream,462.25M
NGM,NGM Biopharmaceuticals Inc.,Biotechnology,267.67M
NGMS,NeoGames S.A.,Gambling,911.38M
NGS,Natural Gas Services Group Inc.,Oil & Gas Equipment & Services,127.27M
NGVC,Natural Grocers by Vitamin Cottage Inc.,Grocery Stores,240.53M
NGVT,Ingevity Corporation,Specialty Chemicals,1.88B
NHC,National HealthCare Corporation,Medical Care Facilities,952.47M
NHI,National Health Investors Inc.,REIT - Healthcare Facilities,2.33B
NHTC,Natural Health Trends Corp.,Internet Retail,61.86M
NHWK,NightHawk Biosciences Inc.,Biotechnology,17.97M
NI,NiSource Inc.,Utilities - Regulated Gas,11.05B
NIC,Nicolet Bankshares Inc.,Banks - Regional,1.00B
NICE,NICE Ltd.,Software - Application,13.14B
NICK,Nicholas Financial Inc.,Credit Services,36.06M
NINE,Nine Energy Service Inc.,Oil & Gas Equipment & Services,117.00M
NIO,NIO Inc.,Auto Manufacturers,12.76B
NIR,Near Intelligence Inc.,Software - Application,83.47M
NISN,Nisun International Enterprise Development Group Co. Ltd,Credit Services,15.18M
NIU,Niu Technologies,Auto Manufacturers,288.50M
NJR,New Jersey Resources Corporation,Utilities - Regulated Gas,4.88B
NKE,NIKE Inc.,Footwear & Accessories,165.66B
NKLA,Nikola Corporation,Farm & Heavy Construction Machinery,456.08M
NKSH,National Bankshares Inc.,Banks - Regional,168.89M
NKTR,Nektar Therapeutics,Biotechnology,117.19M
NKTX,Nkarta Inc.,Biotechnology,232.44M
NL,NL Industries Inc.,Security & Protection Services,286.55M
NLS,Nautilus Inc.,Leisure,40.43M
NLSP,NLS Pharmaceutics AG,Biotechnology,31.78M
NLTX,Neoleukin Therapeutics Inc.,Drug Manufacturers - Specialty & Generic,35.12M
NLY,Annaly Capital Management Inc.,REIT - Mortgage,9.69B
NM,Navios Maritime Holdings Inc.,Marine Shipping,39.72M
NMFC,New Mountain Finance Corporation,Asset Management,1.22B
NMG,Nouveau Monde Graphite Inc.,Other Industrial Metals & Mining,190.75M
NMIH,NMI Holdings Inc.,Insurance - Specialty,2.17B
NMM,Navios Maritime Partners L.P.,Marine Shipping,615.46M
NMR,Nomura Holdings Inc.,Capital Markets,11.03B
NMRD,Nemaura Medical Inc.,Medical Devices,15.89M
NMRK,Newmark Group Inc.,Real Estate Services,1.44B
NMTC,NeuroOne Medical Technologies Corporation,Medical Devices,20.72M
NMTR,9 Meters Biopharma Inc.,Biotechnology,10.33M
NN,NextNav Inc.,Internet Content & Information,287.61M
NNBR,NN Inc.,Conglomerates,84.00M
NNDM,Nano Dimension Ltd.,Computer Hardware,629.86M
NNI,Nelnet Inc.,Credit Services,3.62B
NNN,National Retail Properties Inc.,REIT - Retail,7.85B
NNOX,Nano-X Imaging Ltd.,Medical Devices,1.17B
NNVC,NanoViricides Inc.,Biotechnology,14.70M
NOA,North American Construction Group Ltd.,Oil & Gas Equipment & Services,494.37M
NOAH,Noah Holdings Limited,Asset Management,1.24B
NOC,Northrop Grumman Corporation,Aerospace & Defense,67.40B
NODK,NI Holdings Inc.,Insurance - Property & Casualty,288.08M
NOG,Northern Oil and Gas Inc.,Oil & Gas E&P,2.92B
NOGN,Nogin Inc.,Software - Application,13.97M
NOK,Nokia Oyj,Communication Equipment,22.60B
NOMD,Nomad Foods Limited,Packaged Foods,3.12B
NOTE,FiscalNote Holdings Inc.,Information Technology Services,321.47M
NOTV,Inotiv Inc.,Diagnostics & Research,154.30M
NOV,NOV Inc.,Oil & Gas Equipment & Services,6.22B
NOVA,Sunnova Energy International Inc.,Solar,2.08B
NOVN,Novan Inc.,Biotechnology,31.66M
NOVT,Novanta Inc.,Scientific & Technical Instruments,6.08B
NOVV,Nova Vision Acquisition Corporation,Shell Companies,38.57M
NOW,ServiceNow Inc.,Software - Application,111.69B
NPAB,New Providence Acquisition Corp. II,Shell Companies,122.49M
NPCE,NeuroPace Inc.,Medical Devices,104.42M
NPK,National Presto Industries Inc.,Aerospace & Defense,552.98M
NPO,EnPro Industries Inc.,Specialty Industrial Machinery,2.27B
NR,Newpark Resources Inc.,Oil & Gas Equipment & Services,351.40M
NRAC,Noble Rock Acquisition Corporation,Shell Companies,88.59M
NRBO,NeuroBo Pharmaceuticals Inc.,Biotechnology,14.78M
NRC,National Research Corporation,Health Information Services,1.12B
NRDS,NerdWallet Inc.,Credit Services,775.68M
NRDY,Nerdy Inc.,Software - Application,252.89M
NREF,NexPoint Real Estate Finance Inc.,REIT - Mortgage,317.78M
NRG,NRG Energy Inc.,Utilities - Independent Power Producers,7.67B
NRGV,Energy Vault Holdings Inc.,Utilities - Renewable,339.16M
NRIM,Northrim BanCorp Inc.,Banks - Regional,226.73M
NRIX,Nurix Therapeutics Inc.,Biotechnology,518.10M
NRP,Natural Resource Partners L.P.,Thermal Coal,583.72M
NRSN,NeuroSense Therapeutics Ltd.,Biotechnology,22.18M
NRT,North European Oil Royalty Trust,Oil & Gas E&P,113.32M
NRXP,NRx Pharmaceuticals Inc.,Biotechnology,62.58M
NS,NuStar Energy L.P.,Oil & Gas Midstream,1.90B
NSA,National Storage Affiliates Trust,REIT - Industrial,5.36B
NSC,Norfolk Southern Corporation,Railroads,49.14B
NSIT,Insight Enterprises Inc.,Electronics & Computer Distribution,4.55B
NSP,Insperity Inc.,Staffing & Employment Services,4.52B
NSPR,InspireMD Inc.,Medical Devices,37.68M
NSSC,Napco Security Technologies Inc.,Security & Protection Services,1.34B
NSTB,Northern Star Investment Corp. II,Shell Companies,119.53M
NSTC,Northern Star Investment Corp. III,Shell Companies,142.80M
NSTD,Northern Star Investment Corp. IV,Shell Companies,144.08M
NSTG,NanoString Technologies Inc.,Medical Instruments & Supplies,274.06M
NSTS,NSTS Bancorp Inc.,Banks - Regional,47.82M
NSYS,Nortech Systems Incorporated,Electronic Components,26.49M
NTAP,NetApp Inc.,Computer Hardware,15.18B
NTB,The Bank of N.T. Butterfield & Son Limited,Banks - Diversified,1.34B
NTCO,Natura &Co Holding S.A.,Household & Personal Products,3.97B
NTCT,NetScout Systems Inc.,Software - Infrastructure,2.23B
NTES,NetEase Inc.,Electronic Gaming & Multimedia,55.86B
NTGR,NETGEAR Inc.,Communication Equipment,413.46M
NTIC,Northern Technologies International Corporation,Specialty Chemicals,105.47M
NTIP,Network-1 Technologies Inc.,Specialty Business Services,54.26M
NTLA,Intellia Therapeutics Inc.,Biotechnology,3.61B
NTNX,Nutanix Inc.,Software - Infrastructure,7.20B
NTR,Nutrien Ltd.,Agricultural Inputs,28.28B
NTRA,Natera Inc.,Diagnostics & Research,5.58B
NTRB,Nutriband Inc.,Biotechnology,22.09M
NTRS,Northern Trust Corporation,Asset Management,15.66B
NTST,NETSTREIT Corp.,REIT - Retail,1.16B
NTWK,NetSol Technologies Inc.,Software - Application,25.08M
NTZ,Natuzzi S.p.A.,'''Furnishings, Fixtures & Appliances''',74.13M
NU,Nu Holdings Ltd.,Banks - Diversified,32.72B
NUBI,Nubia Brand International Corp.,Shell Companies,163.86M
NUE,Nucor Corporation,Steel,35.50B
NURO,NeuroMetrix Inc.,Medical Devices,8.07M
NUS,Nu Skin Enterprises Inc.,Household & Personal Products,1.73B
NUTX,Nutex Health Inc.,Health Information Services,296.90M
NUVA,NuVasive Inc.,Medical Devices,2.07B
NUVB,Nuvation Bio Inc.,Biotechnology,374.15M
