Symbol,Company Name,Industry,Market Cap
APP,AppLovin Corporation,Software - Application,9.04B
APPF,AppFolio Inc.,Software - Application,5.67B
APPH,AppHarvest Inc.,Farm Products,68.56M
APPN,Appian Corporation,Software - Infrastructure,3.33B
APPS,Digital Turbine Inc.,Software - Application,939.86M
APRE,Aprea Therapeutics Inc.,Biotechnology,13.47M
APRN,Blue Apron Holdings Inc.,Internet Retail,38.52M
APT,Alpha Pro Tech Ltd.,Building Products & Equipment,44.97M
APTM,Alpha Partners Technology Merger Corp.,Shell Companies,372.99M
APTO,Aptose Biosciences Inc.,Biotechnology,40.40M
APTV,Aptiv PLC,Auto Parts,25.34B
APVO,Aptevo Therapeutics Inc.,Biotechnology,11.66M
APWC,Asia Pacific Wire & Cable Corporation Limited,Electrical Equipment & Parts,32.99M
APXI,APx Acquisition Corp. I,Shell Companies,115.97M
APYX,Apyx Medical Corporation,Medical Devices,232.84M
AQB,AquaBounty Technologies Inc.,Farm Products,29.18M
AQMS,Aqua Metals Inc.,Waste Management,83.97M
AQN,Algonquin Power & Utilities Corp.,Utilities - Renewable,5.87B
AQST,Aquestive Therapeutics Inc.,Drug Manufacturers - Specialty & Generic,126.38M
AQU,Aquaron Acquisition Corp.,Shell Companies,73.08M
AR,Antero Resources Corporation,Oil & Gas E&P,6.40B
ARAV,Aravive Inc.,Biotechnology,107.72M
ARAY,Accuray Incorporated,Medical Devices,362.90M
ARBB,ARB IOT Group Limited,Information Technology Services,88.89M
ARBE,Arbe Robotics Ltd.,Software - Infrastructure,142.33M
ARBG,Aequi Acquisition Corp.,Shell Companies,94.88M
ARBK,Argo Blockchain plc,Capital Markets,60.68M
ARC,ARC Document Solutions Inc.,Specialty Business Services,125.67M
ARCB,ArcBest Corporation,Trucking,2.09B
ARCC,Ares Capital Corporation,Asset Management,10.40B
ARCE,Arco Platform Limited,Education & Training Services,807.14M
ARCH,Arch Resources Inc.,Thermal Coal,2.05B
ARCO,Arcos Dorados Holdings Inc.,Restaurants,1.86B
ARCT,Arcturus Therapeutics Holdings Inc.,Biotechnology,714.01M
ARDS,Aridis Pharmaceuticals Inc.,Biotechnology,10.46M
ARDX,Ardelyx Inc.,Biotechnology,754.91M
ARE,Alexandria Real Estate Equities Inc.,REIT - Office,19.96B
AREB,American Rebel Holdings Inc.,Footwear & Accessories,2.57M
AREC,American Resources Corporation,Coking Coal,126.71M
AREN,The Arena Group Holdings Inc.,Internet Content & Information,85.36M
ARES,Ares Management Corporation,Asset Management,27.00B
ARGO,Argo Group International Holdings Ltd.,Insurance - Property & Casualty,1.03B
ARGX,argenx SE,Biotechnology,22.04B
ARHS,Arhaus Inc.,Home Improvement Retail,1.02B
ARI,Apollo Commercial Real Estate Finance Inc.,REIT - Mortgage,1.52B
ARIS,Aris Water Solutions Inc.,Utilities - Regulated Water,845.45M
ARIZ,Arisz Acquisition Corp.,Shell Companies,94.62M
ARKO,Arko Corp.,Specialty Retail,903.49M
ARKR,Ark Restaurants Corp.,Restaurants,65.24M
ARL,American Realty Investors Inc.,Real Estate - Development,288.15M
ARLO,Arlo Technologies Inc.,Security & Protection Services,908.32M
ARLP,Alliance Resource Partners L.P.,Thermal Coal,2.27B
ARMK,Aramark,Specialty Business Services,10.35B
ARMP,Armata Pharmaceuticals Inc.,Biotechnology,58.19M
ARNC,Arconic Corporation,Metal Fabrication,2.90B
AROC,Archrock Inc.,Oil & Gas Equipment & Services,1.51B
AROW,Arrow Financial Corporation,Banks - Regional,331.36M
ARQQ,Arqit Quantum Inc.,Software - Infrastructure,169.48M
ARQT,Arcutis Biotherapeutics Inc.,Biotechnology,503.66M
ARR,ARMOUR Residential REIT Inc.,REIT - Mortgage,1.01B
ARRW,Arrowroot Acquisition Corp.,Shell Companies,120.75M
ARRY,Array Technologies Inc.,Solar,3.58B
ARTE,Artemis Strategic Investment Corporation,Shell Companies,263.89M
ARTL,Artelo Biosciences Inc.,Biotechnology,5.45M
ARTNA,Artesian Resources Corporation,Utilities - Regulated Water,514.92M
ARTW,'Art''s-Way Manufacturing Co. Inc.',Farm & Heavy Construction Machinery,12.42M
ARVL,Arrival,Auto Manufacturers,57.23M
ARVN,Arvinas Inc.,Biotechnology,1.24B
ARW,Arrow Electronics Inc.,Electronics & Computer Distribution,7.28B
ARWR,Arrowhead Pharmaceuticals Inc.,Biotechnology,3.85B
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,82.84M
